T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
,,,,,,,,
29.4,34.4,26.4,999.9,86,1.8,2.2,14.8,31.33333333
,,,,,,,,
28.8,34.4,25.3,1001.7,88,1.6,1.7,7.6,47.41666667
,,,,,,,,
27.5,30.8,25,1000.2,92,1.3,3,7.6,33.79166667
,,,,,,,,
31.9,35.8,28,1001.8,75,1.9,0.4,3.5,39.04166667
,,,,,,,,
30.9,35.8,28.6,1001.8,78,1.9,3.3,14.8,41.70833333
,,,,,,,,
31.6,35.6,25.8,1002.7,67,2.9,13,22.2,12.25
,,,,,,,,
30.9,35.5,27.7,1001.5,66,1.9,14.6,27.8,14.5
,,,,,,,,
29.5,34.5,27.6,1002,77,1.9,8.5,18.3,23.91666667
,,,,,,,,
32,35.6,27,1000.9,64,3.4,10,20.6,27.375
,,,,,,,,
31.9,36.2,28,1001.1,68,2.6,4.8,14.8,29.20833333
,,,,,,,,
32.4,36.9,28.1,1001.9,68,2.7,5.4,11.1,36.5
,,,,,,,,
32.2,36.8,28.4,1002,61,2.6,14.6,24.1,27.83333333
,,,,,,,,
32.1,36.6,28,1000.8,56,1.9,15.4,25.9,44.125
,,,,,,,,
26.1,34.8,17.9,1008.8,54,2.6,11.9,18.3,64.79166667
,,,,,,,,
23.6,34.3,17.7,1010.4,51,2.6,15.9,22.2,52.33333333
,,,,,,,,
23.2,29.6,16.7,1008.6,54,1.9,13.1,22.2,52.04166667
,,,,,,,,
17.2,24.2,10.8,1018.3,74,2.6,4.6,14.8,69.66666667
,,,,,,,,
17.7,26.5,9.8,1015.3,73,1.4,4.8,14.8,79.83333333
,,,,,,,,
20.4,28.4,15.2,1014.7,62,2.4,5,14.8,62.70833333
,,,,,,,,
29.4,34.5,24.3,1009.1,73,1.8,1.3,3.5,61.70833333
,,,,,,,,
30.1,34.5,24.8,1010,72,1.8,1.5,7.6,60.54166667
,,,,,,,,
30.1,35.6,24.8,1010.5,72,2.1,4.6,11.1,41.58333333
,,,,,,,,
30,35.5,26.2,997.5,83,1.9,3.7,11.1,26.58333333
,,,,,,,,
29,33.7,26.9,996.5,82,1.9,9.8,14.8,15.41666667
,,,,,,,,
31.1,34.9,25.9,998.2,76,1.9,6.7,11.1,41.375
,,,,,,,,
31.8,36,27.5,999.6,71,1.9,11.7,18.3,25.54166667
,,,,,,,,
32.2,36.1,27.4,1000.8,69,1.9,9.3,14.8,28.375
,,,,,,,,
28.4,30.6,25.3,1001.8,88,1.4,3.1,7.6,50.33333333
,,,,,,,,
28.1,30.8,25.8,1000.6,88,1.9,8,18.3,35.375
,,,,,,,,
27.4,30.8,25.4,1000.8,90,1.9,3.1,9.4,31.91666667
,,,,,,,,
30.1,34.6,27.2,1000,79,1.9,10.2,18.3,35.29166667
,,,,,,,,
29.7,34.9,26.1,1000.3,79,1.9,8.3,18.3,26.83333333
,,,,,,,,
27.7,30.7,24.8,1001.8,88,1.9,7.2,14.8,21.125
,,,,,,,,
28.4,33.1,26,1000,86,1.9,5,18.3,35.70833333
,,,,,,,,
27.4,33.5,24.4,999.1,90,1.1,5.4,18.3,43.58333333
,,,,,,,,
29.2,34.4,24.8,999,81,2.1,7.8,29.4,46.04166667
,,,,,,,,
31.1,35,27.9,1000.1,81,1.9,7.2,11.1,49.125
,,,,,,,,
30.3,35.8,27.2,997.5,78,1.9,7.6,14.8,43.66666667
,,,,,,,,
29.2,35.4,24.6,996.4,81,1.8,7.4,14.8,29.83333333
,,,,,,,,
31.8,36.7,25.8,998.8,75,1.9,8.3,14.8,35.20833333
,,,,,,,,
31.1,37.2,28.2,997.5,76,1.9,3.9,11.1,37.625
,,,,,,,,
31.7,37.2,26.8,998.3,78,1.9,7.8,11.1,41.45833333
,,,,,,,,
30.9,35.4,25.8,995,77,1.9,10.4,18.3,38.58333333
,,,,,,,,
26.8,35.4,24.2,999,93,1.1,6.3,14.8,36
,,,,,,,,
32.6,40.7,26,996.9,59,2.6,11.9,29.4,32.95833333
,,,,,,,,
34.7,38,30.5,995.4,55,2.4,10.4,18.3,40.83333333
,,,,,,,,
32.7,37.5,24.7,1002.3,55,2.4,7.4,18.3,38.66666667
,,,,,,,,
36,40,26.6,1001.7,46,3.1,9.1,22.2,45.375
,,,,,,,,
30.9,37,19,1008.9,33,2.6,6.9,14.8,20.79166667
,,,,,,,,
31.6,38,23.2,1002.6,30,3.1,18.7,35.2,46.91666667
,,,,,,,,
33.9,39.6,25.8,1002.7,28,2.7,15.7,29.4,30.875
,,,,,,,,
29.9,37,19.5,1008.3,39,2.7,4.4,9.4,23.20833333
,,,,,,,,
30.4,37.5,21.6,1006.3,41,2.6,12,27.8,15.16666667
,,,,,,,,
32.3,39,21.5,1007.3,39,3.4,5.4,13,21.25
,,,,,,,,
33.4,39.1,24.8,1008,47,2.1,2.6,7.6,25.75
